name,sport,sport_category,sport_subtype,city,country,continent,date,start_time,distance,description,participants
HYROX Hamburg,Hyrox,Indoor Fitness Race,Pro,Hamburg,Germany,Europe,2026-10-02,08:00,Hyrox,Intersport HYROX Hamburg Major with Elite 15 competition,20000
HYROX Stuttgart,Hyrox,Indoor Fitness Race,Pro,Stuttgart,Germany,Europe,2026-10-31,08:00,Hyrox,South German city HYROX attracting top athletes,15000
HYROX Frankfurt,Hyrox,Indoor Fitness Race,Pro,Frankfurt,Germany,Europe,2026-12-12,08:00,Hyrox,Messe Frankfurt staple with passionate field,18000
HYROX Cologne,Hyrox,Indoor Fitness Race,Pro,Cologne,Germany,Europe,2026-04-16,08:00,Hyrox,All Inclusive Fitness HYROX at FIBO trade show,25000
HYROX Berlin Tempelhof,Hyrox,Indoor Fitness Race,Pro,Berlin,Germany,Europe,2026-06-30,08:00,Hyrox,Grand finale at iconic Tempelhof Airport,30000
Spartan Trifecta Weekend Kulmbach,Spartan,Obstacle Race,Trifecta,Kulmbach,Germany,Europe,2026-06-12,07:00,5K+10K+21K,Spartan Weekend with Sprint Super Beast and Kids,12000
Spartan Sprint Kulmbach,Spartan,Obstacle Race,Sprint,Kulmbach,Germany,Europe,2026-06-12,08:30,5K,Classic Spartan Sprint 5K with 20 obstacles,8000
Spartan Super Kulmbach,Spartan,Obstacle Race,Super,Kulmbach,Germany,Europe,2026-06-13,07:30,10K,Spartan Super 10K with 25 obstacles,7000
Spartan Beast Kulmbach,Spartan,Obstacle Race,Beast,Kulmbach,Germany,Europe,2026-06-14,07:00,21K,Spartan Beast half marathon with 30 obstacles,6000
Spartan Kids Race Kulmbach,Spartan,Obstacle Race,Kids,Kulmbach,Germany,Europe,2026-06-12,10:00,1K-3K,Spartan Kids Race for ages 4-15 with age-appropriate obstacles,2000
Spartan Trifecta Weekend Munich,Spartan,Obstacle Race,Trifecta,Munich,Germany,Europe,2026-04-17,07:00,5K+10K+21K,Spartan Munich Trifecta in Olympic Park stadium,13000
Spartan Sprint Munich,Spartan,Obstacle Race,Sprint,Munich,Germany,Europe,2026-04-17,08:30,5K,Urban nature Sprint in historic Olympic Park,9000
Spartan Super Munich,Spartan,Obstacle Race,Super,Munich,Germany,Europe,2026-04-18,07:30,10K,Spartan Super with stadium atmosphere,8000
Spartan Hurricane Heat Munich,Spartan,Obstacle Race,HH,Munich,Germany,Europe,2026-04-17,06:00,4H,Spartan Hurricane Heat 4-hour team challenge,500
